subject_code,subject_name,credit,target_grade,type_number,subject_year
APHY1002,물리학및실험 1,3,1,11,2022
AMTH1009,미분적분학,3,1,11,2022
AMTH1004,선형대수,3,1,11,2022
EE211,확률및랜덤변수,3,2,11,2022
AMTH1001,미분방정식,3,1,11,2022
CSE201,이산구조,3,2,11,2022
SWCON103,디자인적사고,3,1,04,2022
SWCON104,웹/파이선프로그래밍,3,1,04,2022
CSE103,객체지향프로그래밍,3,1,04,2022
EE209,논리회로,3,2,04,2022
CSE203,컴퓨터구조,3,2,04,2022
CSE204,자료구조,3,2,04,2022
CSE301,운영체제,3,3,04,2022
CSE302,컴퓨터네트워크,3,3,04,2022
CSE327,소프트웨어공학,3,3,04,2022
CSE304,알고리즘분석,3,3,04,2022
CSE305,데이터베이스,3,3,04,2022
CSE223,오픈소스SW개발,3,2,04,2022
CSE208,IT기술영어 1,1,2,04,2022
CSE308,IT기술영어 2,1,3,04,2022
CSE309,IT기술영어 3,1,3,04,2022
CSE406,캡스톤디자인 1,3,4,04,2022
CSE405,캡스톤디자인 2,3,4,04,2022
CSE403,졸업논문,0,4,04,2022
SWCON253,기계학습,3,2,04,2022
EE210,신호와시스템,3,2,05,2022
CSE321,문제해결,3,3,05,2022
CSE322,형식언어및컴파일러,3,3,05,2022
CSE323,파일처리,3,3,05,2022
CSE324,멀티미디어시스템,3,3,05,2022
CSE303,시스템분석및설계,3,3,05,2022
CSE328,프로그래밍언어구조론,3,3,05,2022
CSE330,SW스타트업비즈니스,3,3,05,2022
CSE334,SW스타트업프로젝트,3,3,05,2022
CSE436,최신기술프로젝트 1,3,4,05,2022
CSE437,최신기술프로젝트 2,3,4,05,2022
CSE438,최신기술콜로키움 1,2,4,05,2022
SWCON302,최신기술콜로키움 2,2,2-4,05,2022
CSE496,연구연수활동 1,1,2-4,05,2022
CSE497,연구연수활동 2,1,2-4,05,2022
CSE495,"독립심화학습 1
(컴퓨터공학과)",3,3,05,2022
CSE499,"독립심화학습 2
(컴퓨터공학과)",3,3,05,2022
CSE445,인공지능,3,4,05,2022
CSE434,빅데이터프로그래밍,3,3,05,2022
CSE335,클라우드컴퓨팅,3,3,05,2022
SWCON221,데이터센터프로그래밍,3,2,05,2022
CSE423,정보보호,3,4,05,2022
CSE435,모바일프로그래밍,3,4,05,2022
CSE433,웹서비스프로그래밍,3,4,05,2022
CSE332,리눅스시스템프로그래밍,3,3,05,2022
CSE439,IoT디지털시스템,3,4,05,2022
CSE440,IoT소프트웨어,3,4,05,2022
CSE427,로봇소프트웨어,3,4,05,2022
CSE426,영상처리,3,4,05,2022
CSE428,컴퓨터그래픽스,3,4,05,2022
CSE430,멀티미디어처리,3,4,05,2022
CSE431,인간-컴퓨터상호작용,3,4,05,2022
CSE224,UI/UX프로그래밍,3,2,05,2022
CSE441,컴퓨터비젼,3,4,05,2022
CSE442,블록체인,3,4,05,2022
CSE443,AI네트워킹,3,4,05,2022
CSE444,IoT네트워크,3,4,05,2022
CSE331,딥러닝,3,3,05,2022
CSE340,실전기계학습,3,3,05,2022
