subject_code,subject_name,credit,target_grade,type_number,subject_year
AMTH1001,미분방정식,3,1,11,2024
AMTH1004,선형대수,3,1,11,2024
AMTH1009,미분적분학,3,1,11,2024
CSE201,이산구조,3,2,11,2024
EE211,확률및랜덤변수,3,2,11,2024
CSE103,객체지향프로그래밍,3,1,04,2024
CSE203,컴퓨터구조,3,2,04,2024
CSE204,자료구조,3,2,04,2024
CSE301,운영체제,3,3,04,2024
CSE302,컴퓨터네트워크,3,3,04,2024
CSE304,알고리즘,3,3,04,2024
CSE305,데이터베이스,3,3,04,2024
CSE327,소프트웨어공학,3,3,04,2024
CSE403,졸업논문(컴퓨터공학),0,4,04,2024
CSE405,졸업프로젝트,3,4,04,2024
CSE406,캡스톤디자인,3,4,04,2024
EE209,논리회로,3,2,04,2024
SWCON103,디자인적사고,3,1,04,2024
SWCON104,웹/파이선프로그래밍,3,1,04,2024
SWCON201,오픈소스SW개발방법및도구,3,2,04,2024
SWCON253,기계학습,3,2,04,2024
AI1002,인공지능프로그래밍,3,1,05,2024
AI3001,고급딥러닝,3,3,05,2024
AI3004,빅데이터마이닝,3,3-4,05,2024
CSE104,실감미디어컴퓨팅기초,3,1,05,2024
CSE224,UI/UX프로그래밍,3,2,05,2024
CSE322,컴파일러,3,3,05,2024
CSE324,메타버스시스템,3,3,05,2024
CSE328,프로그래밍언어론,3,3,05,2024
CSE330,SW스타트업비즈니스,3,3,05,2024
CSE331,딥러닝,3,3,05,2024
CSE332,리눅스시스템프로그래밍,3,3,05,2024
CSE334,SW스타트업프로젝트,3,3,05,2024
CSE335,클라우드컴퓨팅,3,3,05,2024
CSE340,실전기계학습,3,3,05,2024
CSE423,정보보호,3,4,05,2024
CSE426,영상처리,3,4,05,2024
CSE428,컴퓨터그래픽스,3,4,05,2024
CSE430,메타버스테이터처리,3,4,05,2024
CSE431,인간-컴퓨터상호작용,3,4,05,2024
CSE434,빅데이터프로그래밍,3,3,05,2024
CSE436,빅데이터프로젝트,3,4,05,2024
CSE437,클라우드프로젝트,3,4,05,2024
CSE438,최신기술콜로키움1,2,4,05,2024
CSE439,AIoT디지털시스템,3,4,05,2024
CSE440,AIoT소프트웨어,3,4,05,2024
CSE441,컴퓨터비젼,3,4,05,2024
CSE442,블록체인,3,4,05,2024
CSE443,AI네트워킹,3,4,05,2024
CSE444,AIoT네트워크,3,4,05,2024
CSE450,모바일/웹서비스프로그래밍,3,4,05,2024
CSE451,모바일/웹서비스프로젝트,3,4,05,2024
CSE452,소프트웨어보안,3,4,05,2024
CSE453,웹보안,3,4,05,2024
CSE495,독립심화학습1(컴퓨터공학과),3,3,05,2024
CSE496,연구연수활동1,1,2-4,05,2024
CSE497,연구연수활동2,1,2-4,05,2024
CSE499,독립심화학습2(컴퓨터공학과),3,3,05,2024
EE210,신호와시스템,3,2,05,2024
SWCON211,게임프로그래밍입문,3,2,05,2024
SWCON212,게인엔진기초,3,2,05,2024
SWCON221,마이크로서비스프로그래밍,3,2,05,2024
SWCON254,회로와신호,3,2,05,2024
SWCON302,최신기술콜로키움2,2,2-4,05,2024
SWCON311,게임그래픽프로그래밍,3,3,05,2024
SWCON312,게임인터랙티브테크놀로지,3,4,05,2024
SWCON313,가상/증강현실이론및실습,3,3,05,2024
SWCON331,로봇프로그래밍,3,3-4,05,2024
SWCON366,3D데이터처리,3,3,05,2024
SWCON370,풀스택서비스프로그래밍,3,3-4,05,2024
SWCON491,인공지능과게임프로그래밍,3,3-4,05,2024
SWCON492,풀스택서비스네트워킹,3,2-4,05,2024
SWCON493,자연언어처리,3,4,05,2024
SWCON495,강화학습,3,4,05,2024
