campus,course_no,title,target_year,capacity,professor,credit,time_place,language,note,syllabus_url
국제,EE211-00,확률및랜덤변수(컴퓨터공학과),2,60,송주빈,3.0,"월 15:00-16:15 (전220)
수 15:00-16:15 (전220)",,,
국제,CSE304-00,알고리즘,3,52,한치근,3.0,"월 13:00-14:50 (B01)
수 13:00-14:50 (B01)",,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),
국제,SWCON104-00,웹/파이선프로그래밍(컴퓨터공학과),1,150,이성원,3.0,"월 13:00-14:50 (전205)
수 13:00-14:50 (전205)",영어(부분),본인 노트북으로 실습 (필요시 대여 가능),
국제,CSE302-00,컴퓨터네트워크,3,61,이성원,3.0,"월 15:00-16:15 (전136)
수 15:00-16:15 (전136)",영어(부분),,
국제,SWCON221-00,마이크로서비스프로그래밍(컴퓨터공학과),2,60,이성원,3.0,"월 17:00-18:50 (B09)
수 17:00-18:50 (B09)",영어(부분),본인 노트북으로 실습 (필요시 대여 가능),
국제,SWCON370-00,풀스택서비스프로그래밍(컴퓨터공학과),3,30,이성원,3.0,"화 13:00-14:50 (B05)
목 13:00-14:50 (B05)",,디자인소프트웨어 마이크로디그리 교과목,
국제,SWCON492-00,풀스택서비스네트워킹(컴퓨터공학과),4,60,이성원,3.0,"화 15:00-16:15 (전136)
목 15:00-16:15 (전136)",,XR입출력기술 마이크로디그리 교과목,
국제,SWCON201-00,오픈소스SW개발방법및도구(컴퓨터공학과),2,150,이성원,3.0,"화 17:00-18:15 (전205)
목 17:00-18:15 (전205)",영어(부분),,
국제,EE211-05,확률및랜덤변수(컴퓨터공학과),2,60,홍인기,3.0,"화 15:00-16:15 (전220)
목 15:00-16:15 (전220)",,,
국제,CSE103-01,객체지향프로그래밍,1,150,이대호,3.0,- (온라인),,"소프트웨어융합대학/전자공학과 전공(다전공 포함) 학생은 수강 불가, 시험은 7주차(4월 21일)/15주차(6월16일) 월요일 18:30~20:00 대면으로 전자정보관에서 진행 (본인 노트북으로 실시, 필요시 노트북 대여 가능, 타 과목과 시험이 중복되어도 시간 변동 없음), 실감미디어기술 마이크로디그리 교과목",
